tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0115678	movie	Big Night	Big Night	0	1996	\N	109	Drama,Romance
tt0115685	movie	The Birdcage	The Birdcage	0	1996	\N	117	Comedy
tt0115693	movie	Black Mask	Hak hap	0	1996	\N	99	Action,Adventure,Comedy
tt0115697	movie	Black Sheep	Black Sheep	0	1996	\N	87	Comedy
tt0115701	movie	Blast	Blast	0	1997	\N	105	Action
tt0115736	movie	Bound	Bound	0	1996	\N	109	Crime,Thriller
tt0115738	movie	Box of Moonlight	Box of Moonlight	0	1996	\N	112	Comedy,Drama
tt0115744	movie	Brassed Off	Brassed Off	0	1996	\N	108	Comedy,Drama,Music
tt0115751	movie	Breaking the Waves	Breaking the Waves	0	1996	\N	153	Drama
tt0115759	movie	Broken Arrow	Broken Arrow	0	1996	\N	108	Action,Adventure,Thriller
tt0115781	movie	Bullet	Bullet	0	1996	\N	96	Action,Crime,Drama
tt0115783	movie	Bulletproof	Bulletproof	0	1996	\N	84	Action,Comedy,Crime
tt0115794	movie	Bambola	Bámbola	0	1996	\N	92	Drama,Romance
tt0115798	movie	The Cable Guy	The Cable Guy	0	1996	\N	96	Comedy,Drama,Thriller
tt0115813	movie	Campfire Tales	Campfire Tales	0	1997	\N	88	Horror,Mystery
tt0115836	movie	Carpool	Carpool	0	1996	\N	89	Comedy
tt0115837	movie	Carried Away	Carried Away	0	1996	\N	109	Drama,Romance
tt0115847	movie	Caught	Caught	0	1996	\N	110	Drama,Thriller
tt0115860	movie	Chall	Chall	0	1996	\N	\N	\N
tt0115880	movie	Childhood's End	Childhood's End	0	1996	\N	115	Comedy,Drama,Romance
tt0115907	movie	City Hall	City Hall	0	1996	\N	111	Crime,Drama,Mystery
tt0115956	movie	Courage Under Fire	Courage Under Fire	0	1996	\N	116	Action,Drama,Mystery
tt0115963	movie	The Craft	The Craft	0	1996	\N	101	Drama,Fantasy,Horror
tt0115964	movie	Crash	Crash	0	1996	\N	100	Drama
tt0115986	movie	The Crow: City of Angels	The Crow: City of Angels	0	1996	\N	84	Action,Crime,Fantasy
