description
"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
"Stood up by her groom at the altar, a young woman finds help and healing from another man – until her ex-fiancé returns, hoping to win her back."
"During a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature."
A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.
"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs."
"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage."
"A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart."
"When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge."
"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time."
"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son."
"As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society."
A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.
"When a wolf pup named Runt sneaks off to explore a mysterious cave, he meets and befriends a wolf driven from her pack because she's blind."
"Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital."
"In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves."
"Extensive film clips and interviews tell the story of American filmmaker Ellis R. Dungan, who spent 15 years in India and helped define Tamil cinema."
"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye."
"After being sexually harassed by a drunken politician while performing at a public event, a village dancer plots revenge to clear her name."
"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage."
A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.
"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
"A photographer invites a close-knit group of female pals to her Goa home to announce her engagement, which stirs up a riot of emotion in all of them."
"From his singular career to his personal demons, this biopic chronicles the short yet prolific life of the Marathi dentist-turned-superstar."
"Mild-mannered Krishna comes to Mumbai to search for his gang-leader brother, and quickly finds himself in way over his head."
"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
A young medical intern sets out to fight for justice after the negligence of the surgeon he looked up to ends in tragedy.
"A forger uses a fake identity in trying to retrieve stolen diamonds buried in a penitentiary, unaware a mob assassin is on the trail of his phony alias."
"Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy."
"Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping."
"When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic, ambitious delivery fox Swifty assembles a ragtag crew to protect the planet."
This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.
The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
"Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer."
"When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land."
This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.
"For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist."
A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject.
"Disparate characters, including an aspiring time traveler, a phony chef, a drug-addicted waitress and several others, share a surprising connection."
"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors."
"With his carefree bachelor days behind him, a young entrepreneur’s ambitions for adulthood come with some painful personal and professional decisions."
"This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s."
"Orphaned and at loose ends, young Mukesh falls into the seductive orbit of married Sarika, who leads him ever deeper into a world of sex and betrayal."
"A young woman eager to avoid an arranged marriage moves to Mumbai, where she learns hard truths about show business, life and love."
"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures."
A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.
"To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Hindi conclusion to the historic saga."
Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Hindi version of S.S. Rajamouli's epic.
"A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon."
"When two sisters travel from Canada to Punjab to visit their maternal family, they discover an opportunity to mend a broken bond with their grandmother."
"Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai."
A young woman who is suspected of practicing black magic and witchcraft is demonized and forced to live apart from her family.
"When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
"Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her."
"Sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course."
"After futile attempts to better their lives with honest work, three broke friends opt for a more dubious means of making money: kidnapping for ransom."
"When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection."
"Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him."
"A naïve young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair."
An ambitious young athlete endeavors to revive his floundering running career after falling prey to negative influences.
A dysfunctional middle-class family is transformed by the attentions of their talented new chef – until he vanishes along with their valuable jewels.
"A young man challenges traditional customs by standing up to the father of the woman he loves, who has promised her to a wealthy expatriate."
"A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job."
"After having her heart broken by a man who seduced her at a party, a young, ambitious woman concocts a scheme to get revenge."
"A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else."
"As the 2011 Cricket World Cup begins, three Indians demonstrate their passion and the sacrifices they've made for the country's most popular sport."
A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.
"A theater group lands in trouble when its new actress takes her own life, two of its members are framed for murder and no one is who they appear to be."
This first of a two-part biopic depicts the early years that lay the foundation for beloved Marathi writer and comedian P.L. Deshpande’s iconic career.
"The second installment of P.L. Deshpande’s biopic explores the Marathi humorist’s political journey, philanthropic endeavors and personal life."
Married to two women – each unaware of the other – a man finds his double life threatened when an old friend who knows his not-so-little secret arrives.
"Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own."
"In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey."
"When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice."
"Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace."
"Siddharth dismisses warnings that his palace might be haunted, until ghostly occurrences force him to reconsider his beliefs."
"After a couple moves into an apartment, the wife’s increasingly disturbing behavior unravels chilling secrets about their new home’s past."
A 23-year-old girl who's married to a man more than twice her age is forced to contend with the predatory nature of a male-dominated society.
"An Indian village is abuzz with news that a major movie star is coming to town – even more so because the town barber went to school with him. But as the day of the actor's visit approaches, the humble barber begins to worry he won't be recognized."
"Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check."
"Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films."
A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.
"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos – with mixed results."
"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime."
This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
"Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career."
"When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity."
"Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose."
"With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious – and suspicious – stranger."
"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
An aspiring dancer accompanies her terminally ill mother on one last road trip that alternately strains and strengthens their knotty relationship.
A down-and-out Hollywood actor is utterly unprepared for the eccentricities that await when an Indian producer offers him a role in a Bollywood film.
"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways."
"A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish."
"Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds."
"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help."
This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything – except how to talk to women.
Childhood friends Abhay and Aaliya experience plenty of obstacles in their paths as they find their way in the world and back to each other.
One filmmaker’s quest to expose the human rights violations faced by India’s LGBTQ community was a project of passion seven years in the making.
Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan – until he was sentenced to death for his own murder.
"After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament."
"After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor."
"In this thought-provoking biopic, an idealistic judo trainer adopts a boy from the slums and grooms him into the world's youngest marathon runner."
"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village."
"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy."
"On the night his ex-lover mysteriously dies, a top fashion designer has a serious accident, raising questions on whether the incidents are linked."
"To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities."
Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.
"On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs."
"Richi is a director of commercials whose computer memory drive is accidentally switched with that of Sneha, a woman he soon falls in love with."
"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant."
This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.
"This documentary chronicles the philosophy and life's work of archivist P.K. Nair, who made a mission of preserving Indian cinema’s rich history."
A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.
"With a horde of enemy invaders bearing down, four sons of an illustrious Sikh guru lead a tiny but valiant army into a desperate fight for freedom."
Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.
"After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match."
"When a secretary saves her tycoon boss's life, his family hears wedding bells. Problem is, she's already in love – with his younger brother."
"Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love."
"A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken."
"A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other."
"While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night."
"Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame."
"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds."
"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds."
Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.
What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
An evil demon who traded his freedom for immortality lures Chhota Bheem and his friends to the city of Sonapur with tales of hidden treasure.
Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!
"In the wake of his sister's marriage, a young middle-class man leaves his village and learns that supporting one's self is easier said than done."
"Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal."
"At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father he’s never met, carrying a letter he can’t read."
"In the turbulent 1930s of British colonial India, a teenager joins a ragtag army of schoolboys determined to overthrow their foreign conquerors."
A bank employee weighed down by her jobless husband's debts — and her own broken dreams — finds a secret source of seemingly unlimited cash in her home.
A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.
"Mistaking a broke, small-time hustler for a millionaire, two bumbling fishermen hatch a scheme to use him to help pay off their debts."
"Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score."
"A young man in Kerala has two weeks to stop the woman he loves from a fixed marriage in the U.S., but he doesn't have the papers to get there."
"Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld."
Low TV ratings drive a well-known journalist to concoct a plan to interview a notorious underworld figure who is also a suspected terrorist.
"When Christopher Columbus mysteriously appears in modern-day Kolkata, India, two struggling young men look to him for advice on achieving success."
"Seeking inspiration, a young 19th-century painter finds a woman who is his love, his muse and his willing subject, but his work becomes controversial."
"Following a misunderstanding, a gangster and his boss part ways and become bitter enemies – with devastating consequences."
"Following the death of his wife and daughter in a terrorist attack, an ex-Indian army commando agrees to infiltrate a terrorist cell."
"At odds with his radical instructor's ruthless methods, a drama student assembles his own troupe of misfit actors ahead of a prestigious competition."
"When his prized bicycle is stolen, an astrologer’s search turns into a journey of self-realization — while the thieves learn a few lessons of their own."
A simple man's peaceful life is complicated when an incident brings him in contact with a gangster and launches his journey into the underworld.
"A retired government worker continues to dedicate himself to public service, but his principled ways soon clash with those of his extravagant sons."
A lesbian daughter fights off an arranged marriage in India while an Islamic fundamentalist targets an anti-extremist Muslim scholar in New York.
A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.
"In this Bangla thriller inspired by a true story, the discovery of a charred corpse in the woods leads to a high-profile murder investigation."
"Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
"After returning from school and getting married, a popular farmer begins to arouse resentment and jealousy among those around him."
A surgeon’s perfect life is rattled when his daughter is taken hostage in their own home and he's given 24 hours to pay a hefty ransom.
"A father and son bond on an impromptu road trip over deep conversations, unexpected confessions, strange encounters ... and a drunken escapade."
A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity.
"After failing to win the heart of an aristocrat's widow, a thief plans to abduct her, only to discover that there are others with the same idea."
A man's instant attraction to a woman becomes an obsession as he adopts a friend's identity and even commits murder in order to get closer to her.
"Hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent."
"In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots."
"Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them."
"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths."
"After science student Shesh Shahi – a shy eccentric with a strange connection to nature – is examined by a team of mental hospital doctors, a gripping portrait of schizophrenia emerges."
"Tipped off about buried money in Goa, four ne’er-do-well friends go on the hunt, chased by a police officer who wants the treasure for himself."
"In a last-ditch effort, the jaded coach of the Southall United Football Club assembles a ragtag team and helps lead the team to a comeback season."
A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
"After learning he was adopted from a Muslim couple, a Hindu man seeks his birth father but finds he must confront his bigotry to realize his quest."
"Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies."
"In this intimate drama, circumstances draw together four people from different castes – which would normally preclude them from forming friendships."
"An accountant and a producer hatch a scheme to finance a movie, while making every effort to ensure that it flops so they may pocket the difference."
A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.
"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them – until they each fall in love."
"While hosting a shipboard holiday for relatives and friends, a wealthy but dysfunctional family must face the ugly truths under their flawless facade."
"The sophisticated son of a powerful businessman falls for a simple, free-spirited girl whose older sister is in love with him."
A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.
"Agam Singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry – but they want him to marry first."
"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance."
"A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft."
"A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend."
"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family."
"A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom."
"A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang."
"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way."
"When a matriarch wakes from a 30-year coma, her wacky family frantically recreates a bygone era to keep her from noticing how much time has passed."
A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.
"To win over a landlady who only accepts women as tenants, two men pose as a couple – but the jig may be up when they both fall for their flatmate."
An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.
"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets."
"When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice."
"A lawyer defends his childhood friend – and girlfriend's brother – in a murder case, unaware of his own deep connection to the attorney he’s up against."
"Hilarious mix-ups and deadly encounters ensue when a convict seeks to escape authorities by assuming the identity of his doppelgänger, a perky chef."
"After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down."
"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.
"Driven by the lessons he learned from his mother, and the values of the Sikh religion, a man sets out on a mission to serve humanity."
A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.
"Imprisoned for underworld crimes she didn’t commit, a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her."
"While trying to win over his beloved’s parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense."
"Indebted to a gangster, a grifter assembles a band of fellow swindlers to attempt his biggest scam yet, but it's soon clear that no one can be trusted."
"As her family seeks to marry her off and a hopeful writer pursues her, a small-town woman struggles to reveal the long-hidden truth about who she loves."
Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.
"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
"After accidentally killing a young mobster, a guilt-stricken police officer searches for the parents who never came forward to claim their son's body."
"After his brother dies, wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him."
"When her son comes out to her as gay, a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values."
"When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry."
"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful, unscrupulous politician."
Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at India’s biggest kite-flying festival.
"Spunky, lower-caste lad Jabya falls for lovely, upper-caste Shalu. But his family's derided social position proves a stubborn stumbling block to love."
A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.
"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend."
A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.
An all-around nice guy finds himself in a dangerous situation after he makes the ultimate sacrifice for the woman he loves in this drama.
Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.
"While she successfully advocates for her female clients in difficult divorce cases, a lawyer’s trauma from sexual assault impacts her own marriage."
"Grappling with love and loss in their respective lives, two estranged brothers must confront their traumatic, unresolved past when they cross paths."
A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.
"Fiza's brother disappears during Mumbai's horrifying 1993 riots. Each day, Fiza and her widowed mother hope that he will return."
A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
"An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest."
"A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls."
"Best friends since childhood, a righteous cop and a lawyer who represents criminals in court become rivals when they fall for the same woman."
Four young male friends tackle the challenges and unexpected catastrophes of growing up clueless in this music-packed Bollywood teen drama.
"After a foreboding dream about aliens comes true, a fun-loving trio must prevent human intelligence from being stolen from planet Earth."
"After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public."
An Indian man who has become a major business mogul in Canada must return to his homeland where he's reviled due to being wrongly branded a traitor.
"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit."
"As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim."
"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians."
The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller.
A Punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community.
"Despite growing up with traits that set her apart from her peers, a young adopted girl discovers her gift when she takes an interest in spelling bees."
Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.
"Former con artist Sanju surrounds himself with the finer things, a blissful life troubled by only one thing: his wife, who wants even more."
"Framed for his older brother's murder, a boxer seeks violent revenge against the true killer who's torn his family apart."
"The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers."
"When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival."
"Giving up his life of crime for love, a gangster struggles with a moral dilemma when tragic events and enduring enemies take him back to the underworld."
"Eager to marry but constantly rejected by women, a bachelor hopes to win over a former crush by accepting help from an unlikely source: her mother."
"When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother."
